Additional run info,,Matrix element datatype,float,kernel_size,3x3 to 7x7

kernel_size,matrix_size,exec_time-0,effective_bandwidth-0,flops-0,exec_time-1,effective_bandwidth-1,flops-1,exec_time-2,effective_bandwidth-2,flops-2,exec_time-3,effective_bandwidth-3,flops-3,exec_time-4,effective_bandwidth-4,flops-4,exec_time-5,effective_bandwidth-5,flops-5,exec_time-6,effective_bandwidth-6,flops-6,exec_time-7,effective_bandwidth-7,flops-7,exec_time-8,effective_bandwidth-8,flops-8,exec_time-9,effective_bandwidth-9,flops-9,,mean_exec_time,stdev_exec_time,mean_effective_bandwidth,stdev_effective_bandwidth,mean_flops,stdev_flops
3x3,2^{12},0.001223,9.806206,0.000181,0.001355,8.850922,0.000163,0.001263,9.495640,0.000175,0.001260,9.518248,0.000176,0.001236,9.703067,0.000179,0.001348,8.896884,0.000164,0.001268,9.458197,0.000174,0.001271,9.435872,0.000174,0.001244,9.640668,0.000178,0.001374,8.728530,0.000161,,0.001284,0.000051,9.353423,0.364193,0.000173,0.000007
3x3,2^{14},0.004992,9.609827,0.000177,0.004985,9.623321,0.000177,0.004985,9.623321,0.000177,0.005099,9.408170,0.000174,0.005188,9.246773,0.000171,0.005018,9.560035,0.000176,0.004946,9.699202,0.000179,0.004945,9.701164,0.000179,0.005515,8.698507,0.000160,0.004845,9.901394,0.000183,,0.005052,0.000177,9.507171,0.316509,0.000175,0.000006
3x3,2^{16},0.021072,9.106365,0.000168,0.022875,8.388604,0.000155,0.020968,9.151532,0.000169,0.020572,9.327694,0.000172,0.021692,8.846087,0.000163,0.019970,9.608879,0.000177,0.019914,9.635900,0.000178,0.019991,9.598785,0.000177,0.020021,9.584402,0.000177,0.020090,9.551484,0.000176,,0.020717,0.000918,9.279973,0.391741,0.000171,0.000007
3x3,2^{18},0.085015,9.028495,0.000167,0.079944,9.601190,0.000177,0.080080,9.584884,0.000177,0.082606,9.291789,0.000171,0.085651,8.961455,0.000165,0.080037,9.590034,0.000177,0.082204,9.337229,0.000172,0.086353,8.888603,0.000164,0.081836,9.379216,0.000173,0.080066,9.586560,0.000177,,0.082379,0.002364,9.324946,0.264044,0.000172,0.000005
3x3,2^{20},0.322632,9.516199,0.000176,0.327337,9.379418,0.000173,0.330549,9.288276,0.000171,0.334043,9.191123,0.000170,0.334907,9.167412,0.000169,0.333451,9.207441,0.000170,0.332697,9.228308,0.000170,0.331375,9.265124,0.000171,0.327108,9.385984,0.000173,0.326254,9.410553,0.000174,,0.330035,0.003815,9.303984,0.108167,0.000172,0.000002
5x5,2^{12},0.003213,28.698682,0.000191,0.003187,28.932809,0.000193,0.003475,26.534931,0.000177,0.003530,26.121499,0.000174,0.003553,25.952404,0.000173,0.003086,29.879732,0.000199,0.003140,29.365878,0.000196,0.003397,27.144210,0.000181,0.003201,28.806268,0.000192,0.003236,28.494706,0.000190,,0.003302,0.000162,27.993112,1.350994,0.000187,0.000009
5x5,2^{14},0.013076,28.207122,0.000188,0.013447,27.428894,0.000183,0.013467,27.388159,0.000182,0.014707,25.078966,0.000167,0.013624,27.072544,0.000180,0.013982,26.379369,0.000176,0.013204,27.933681,0.000186,0.013276,27.782188,0.000185,0.013364,27.599247,0.000184,0.013867,26.598135,0.000177,,0.013601,0.000456,27.146831,0.875280,0.000181,0.000006
5x5,2^{16},0.051585,28.600294,0.000191,0.051806,28.478287,0.000190,0.051571,28.608058,0.000191,0.053166,27.749805,0.000185,0.053150,27.758159,0.000185,0.056005,26.343115,0.000176,0.053820,27.412600,0.000183,0.053496,27.578626,0.000184,0.051636,28.572046,0.000190,0.051814,28.473890,0.000190,,0.052805,0.001355,27.957488,0.698679,0.000186,0.000005
5x5,2^{18},0.208802,28.263070,0.000188,0.215684,27.361257,0.000182,0.207919,28.383098,0.000189,0.215567,27.376108,0.000182,0.207318,28.465379,0.000190,0.215215,27.420884,0.000183,0.207052,28.501949,0.000190,0.205816,28.673113,0.000191,0.207467,28.444936,0.000190,0.214554,27.505362,0.000183,,0.210539,0.003923,28.039516,0.519347,0.000187,0.000003
5x5,2^{20},0.854612,7.518820,0.000184,0.855388,7.511999,0.000184,0.853613,7.527619,0.000184,0.854674,7.518274,0.000184,0.855271,7.513026,0.000184,0.855593,7.510199,0.000184,0.854312,7.521460,0.000184,0.853634,7.527434,0.000184,0.853702,7.526834,0.000184,0.854682,7.518204,0.000184,,0.854548,0.000696,7.519387,0.006121,0.000184,0.000000
7x7,2^{12},0.006135,57.716452,0.000196,0.006075,58.286490,0.000198,0.006038,58.643660,0.000199,0.006204,57.074539,0.000194,0.006153,57.547608,0.000196,0.006144,57.631906,0.000196,0.006022,58.799472,0.000200,0.006144,57.631906,0.000196,0.006079,58.248137,0.000198,0.006037,58.653374,0.000199,,0.006103,0.000058,58.023354,0.550551,0.000197,0.000002
7x7,2^{14},0.024725,57.284670,0.000195,0.024400,58.047682,0.000197,0.024537,57.723579,0.000196,0.025119,56.386141,0.000192,0.025072,56.491842,0.000192,0.025327,55.923065,0.000190,0.024808,57.093013,0.000194,0.025492,55.561097,0.000189,0.026673,53.101020,0.000181,0.026091,54.285519,0.000185,,0.025224,0.000674,56.189763,1.469074,0.000191,0.000005
7x7,2^{16},0.098455,57.543604,0.000196,0.099094,57.172539,0.000194,0.100641,56.293713,0.000191,0.105141,53.884361,0.000183,0.103861,54.548441,0.000186,0.098416,57.566407,0.000196,0.099299,57.054508,0.000194,0.100560,56.339057,0.000192,0.103069,54.967600,0.000187,0.100692,56.265200,0.000191,,0.100923,0.002228,56.163543,1.223768,0.000191,0.000004
7x7,2^{18},0.404246,13.560939,0.000191,0.400011,13.704511,0.000193,0.402507,13.619528,0.000191,0.405312,13.525272,0.000190,0.407762,13.444007,0.000189,0.410009,13.370329,0.000188,0.409049,13.401708,0.000188,0.404873,13.539938,0.000190,0.400870,13.675145,0.000192,0.402835,13.608438,0.000191,,0.404747,0.003194,13.544981,0.106710,0.000190,0.000002
7x7,2^{20},1.621116,2.928817,0.000190,1.620131,2.930598,0.000190,1.623025,2.925372,0.000190,1.621879,2.927439,0.000190,1.623369,2.924752,0.000190,1.623503,2.924511,0.000190,1.624771,2.922228,0.000190,1.623505,2.924507,0.000190,1.621492,2.928138,0.000190,1.617945,2.934557,0.000191,,1.622074,0.001899,2.927092,0.003430,0.000190,0.000000
